"COUNTY","DENSITY","POP","NAME","STATE","state","county",
"000","27012","8175133","New York City, New York","36","36","000",
"999","1459.9","459787","Kansas City, Missouri","29","29","999",	
"031","136.32740613","78871","Cape Girardeau County, Missouri","29","29","031",
"205","11.839555224","5930","Shelby County, Missouri","29","29","205",
"225","66.814815375","39592","Webster County, Missouri","29","29","225",
"005","9.3972906116","5143","Atchison County, Missouri","29","29","005",
"013","19.328436321","16172","Bates County, Missouri","29","29","013",
"015","27.616221732","19443","Benton County, Missouri","29","29","015",
"035","11.790479403","5982","Carter County, Missouri","29","29","035",
"057","15.430285339","7561","Dade County, Missouri","29","29","057",
"115","19.363587929","11920","Linn County, Missouri","29","29","115",
"091","43.26456481","40117","Howell County, Missouri","29","29","091",
"101","65.193056194","54062","Johnson County, Missouri","29","29","101",
"105","46.719314795","35723","Laclede County, Missouri","29","29","105",
"125","16.503529137","8697","Maries County, Missouri","29","29","125",
"161","66.349948124","44573","Phelps County, Missouri","29","29","161",
"165","248.74104911","104418","Platte County, Missouri","29","29","165",
"187","148.74295845","67215","St. Francois County, Missouri","29","29","187",
"510","4868.1340932","300576","St. Louis city, Missouri","29","29","510",
"003","40.940176015","17712","Andrew County, Missouri","29","29","003",
"023","61.148432096","42478","Butler County, Missouri","29","29","023",
"033","12.494570616","8679","Carroll County, Missouri","29","29","033",
"061","14.696013434","8278","Daviess County, Missouri","29","29","061",
"087","9.5160268006","4403","Holt County, Missouri","29","29","087",
"103","7.8550222824","3959","Knox County, Missouri","29","29","103",
"127","65.297661358","28530","Marion County, Missouri","29","29","127",
"139","21.588757537","11551","Montgomery County, Missouri","29","29","139",
"151","22.44552221","13615","Osage County, Missouri","29","29","151",
"181","21.107767682","13288","Ripley County, Missouri","29","29","181",
"207","35.257978342","29025","Stoddard County, Missouri","29","29","207",
"219","83.174037337","35649","Warren County, Missouri","29","29","219",
"221","32.545209763","24730","Washington County, Missouri","29","29","221",
"007","36.674883278","25388","Audrain County, Missouri","29","29","007",
"043","157.46085469","88595","Christian County, Missouri","29","29","043",
"063","29.777552496","12547","DeKalb County, Missouri","29","29","063",
"077","433.99134554","293086","Greene County, Missouri","29","29","077",
"081","11.559592485","8352","Harrison County, Missouri","29","29","081",
"107","52.046688119","32708","Lafayette County, Missouri","29","29","107",
"185","13.921868747","9397","St. Clair County, Missouri","29","29","185",
"001","44.671131616","25343","Adair County, Missouri","29","29","001",
"197","15.164085097","4660","Schuyler County, Missouri","29","29","197",
"199","11.230055778","4902","Scotland County, Missouri","29","29","199",
"211","9.3968690767","6089","Sullivan County, Missouri","29","29","211",
"029","70.582263849","46305","Camden County, Missouri","29","29","029",
"045","13.469902318","6797","Clark County, Missouri","29","29","045",
"097","190.0185214","121328","Jasper County, Missouri","29","29","097",
"099","342.86704813","225081","Jefferson County, Missouri","29","29","099",
"111","19.356807308","9776","Lewis County, Missouri","29","29","111",
"119","42.33149127","22837","McDonald County, Missouri","29","29","119",
"143","25.303107644","17076","New Madrid County, Missouri","29","29","143",
"157","40.341082461","19136","Perry County, Missouri","29","29","157",
"167","50.586398876","32149","Polk County, Missouri","29","29","167",
"173","21.943997437","10309","Ralls County, Missouri","29","29","173",
"177","40.466991263","23018","Ray County, Missouri","29","29","177",
"017","3.013764257","11402","Custer County, Montana","30","30","017",
"041","5.6857649916","16484","Hill County, Montana","30","30","041",
"015","1.4184887736","5635","Chouteau County, Montana","30","30","015",
"075","0.5099757071","1682","Powder River County, Montana","30","30","075",
"053","5.5307416997","19980","Lincoln County, Montana","30","30","053",
"067","5.9254860741","16606","Park County, Montana","30","30","067",
"085","4.673400701","11004","Roosevelt County, Montana","30","30","085",
"103","0.7118014976","696","Treasure County, Montana","30","30","103",
"005","1.5805077967","6681","Blaine County, Montana","30","30","005",
"051","1.6342849988","2337","Liberty County, Montana","30","30","051",
"097","2.0140071587","3737","Sweet Grass County, Montana","30","30","097",
"083","5.1823990582","10803","Richland County, Montana","30","30","083",
"099","2.706018259","6147","Teton County, Montana","30","30","099",
"079","0.6201763872","1077","Prairie County, Montana","30","30","079",
"101","2.4730862096","4736","Toole County, Montana","30","30","101",
"035","4.5920690096","13753","Glacier County, Montana","30","30","035",
"025","1.7561456253","2846","Fallon County, Montana","30","30","025",
"019","1.1851196078","1690","Daniels County, Montana","30","30","019",
"037","0.6990668972","821","Golden Valley County, Montana","30","30","037",
"045","1.0734417522","2007","Judith Basin County, Montana","30","30","045",
"093","48.629261015","34915","Silver Bow County, Montana","30","30","093",
"095","5.3663673795","9642","Stillwater County, Montana","30","30","095",
"023","12.406969979","9140","Deer Lodge County, Montana","30","30","023",
"043","7.375987558","12221","Jefferson County, Montana","30","30","043",
"039","1.9563885246","3379","Granite County, Montana","30","30","039",
"055","0.6297721681","1664","McCone County, Montana","30","30","055",
"107","1.4945719367","2126","Wheatland County, Montana","30","30","107",
"057","2.3967733878","8600","Madison County, Montana","30","30","057",
"087","1.7844965407","8937","Rosebud County, Montana","30","30","087",
"091","1.9745695867","3309","Sheridan County, Montana","30","30","091",
"011","0.3747967343","1252","Carter County, Montana","30","30","011",
"021","3.6312389346","8613","Dawson County, Montana","30","30","021",
"003","2.6649647236","13319","Big Horn County, Montana","30","30","003",
"007","5.2308066018","6237","Broadwater County, Montana","30","30","007",
"047","20.43520938","30458","Lake County, Montana","30","30","047",
"720","532.41154939","3981","Norton city, Virginia","51","51","720",
"790","1251.5759071","24932","Staunton city, Virginia","51","51","790",
"065","94.978596256","27270","Fluvanna County, Virginia","51","51","065",
"007","36.990608718","13145","Amelia County, Virginia","51","51","007",
"750","1885.9311257","18249","Radford city, Virginia","51","51","750",
"840","3054.3143844","28078","Winchester city, Virginia","51","51","840",
"001","71.923561531","32316","Accomack County, Virginia","51","51","001",
"045","15.638609565","5131","Craig County, Virginia","51","51","045",
"063","41.344329308","15749","Floyd County, Virginia","51","51","063",
"071","46.80539791","16720","Giles County, Virginia","51","51","071",
"077","35.198087218","15550","Grayson County, Virginia","51","51","077",
"135","48.449422448","15232","Nottoway County, Virginia","51","51","135",
"157","27.668047536","7370","Rappahannock County, Virginia","51","51","157",
"036","38.069761966","6963","Charles City County, Virginia","51","51","036",
"047","138.73110888","52605","Culpeper County, Virginia","51","51","047",
"053","56.64794257","28544","Dinwiddie County, Virginia","51","51","053",
"079","127.09930386","19819","Greene County, Virginia","51","51","079",
"085","230.32549044","107766","Hanover County, Virginia","51","51","085",
"111","28.251103096","12196","Lunenburg County, Virginia","51","51","111",
"137","108.61835795","37051","Orange County, Virginia","51","51","137",
"595","774.34264693","5346","Emporia city, Virginia","51","51","595",
"197","62.096785122","28684","Wythe County, Virginia","51","51","197",
"550","723.2717246","244835","Chesapeake city, Virginia","51","51","550",
"570","2310.0156938","17370","Colonial Heights city, Virginia","51","51","570",
"660","3057.5760128","53016","Harrisonburg city, Virginia","51","51","660",
"003","151.74823151","109330","Albemarle County, Virginia","51","51","003",
"021","17.559027043","6280","Bland County, Virginia","51","51","021",
"019","103.93210864","78997","Bedford County, Virginia","51","51","019",
"023","61.741048975","33419","Botetourt County, Virginia","51","51","023",
"029","29.584770513","17148","Buckingham County, Virginia","51","51","029",
"195","92.660763644","37383","Wise County, Virginia","51","51","195",
"520","1299.0170625","16762","Bristol city, Virginia","51","51","520",
"580","1012.6739301","5538","Covington city, Virginia","51","51","580",
"740","2834.721871","94398","Portsmouth city, Virginia","51","51","740",
"830","1672.647896","14954","Williamsburg city, Virginia","51","51","830",
"810","1838.7105589","449974","Virginia Beach city, Virginia","51","51","810",
"005","33.275919292","14860","Alleghany County, Virginia","51","51","005",
"035","62.751656738","29791","Carroll County, Virginia","51","51","035",
"640","770.60731623","6347","Galax city, Virginia","51","51","640",
"191","95.765776812","53740","Washington County, Virginia","51","51","191",
"193","78.556408503","18015","Westmoreland County, Virginia","51","51","193",
"133","63.178969227","12095","Northumberland County, Virginia","51","51","133",
"139","77.098095864","23902","Page County, Virginia","51","51","139",
"155","106.38817573","34027","Pulaski County, Virginia","51","51","155",
"187","187.21489164","40164","Warren County, Virginia","51","51","187",
"510","10675.366948","159428","Alexandria city, Virginia","51","51","510",
"590","935.66625274","40044","Danville city, Virginia","51","51","590",
"630","2778.3805955","29036","Fredericksburg city, Virginia","51","51","630",
"650","2613.9697686","134510","Hampton city, Virginia","51","51","650",
"009","66.682629736","31605","Amherst County, Virginia","51","51","009",
"013","9110.2137123","236842","Arlington County, Virginia","51","51","013",
"017","7.836331572","4147","Bath County, Virginia","51","51","017",
"670","2175.7981762","22529","Hopewell city, Virginia","51","51","670",
"027","41.769544661","21004","Buchanan County, Virginia","51","51","027",
"700","2597.7568184","179225","Newport News city, Virginia","51","51","700",
"069","216.16593192","89313","Frederick County, Virginia","51","51","069",
"179","567.90220642","152882","Stafford County, Virginia","51","51","179",
"680","1677.7821337","82168","Lynchburg city, Virginia","51","51","680",
"199","652.71795258","68280","York County, Virginia","51","51","199",
"760","3845.5317317","230436","Richmond city, Virginia","51","51","760",
"690","1145.8278262","12554","Martinsville city, Virginia","51","51","690",
"125","31.715668352","14930","Nelson County, Virginia","51","51","125",
"057","42.604057261","10953","Essex County, Virginia","51","51","057",
"143","62.284648801","60354","Pittsylvania County, Virginia","51","51","143",
"185","78.249267481","40595","Tazewell County, Virginia","51","51","185",
"530","1006.1886551","6478","Buena Vista city, Virginia","51","51","530",
"610","7142.6383443","14617","Falls Church city, Virginia","51","51","610",
"685","6923.0395532","17478","Manassas Park city, Virginia","51","51","685",
"730","1379.6479406","31346","Petersburg city, Virginia","51","51","730",
"735","797.78266605","12271","Poquoson city, Virginia","51","51","735",
"183","22.762978693","11159","Sussex County, Virginia","51","51","183",
"600","3848.9120106","24019","Fairfax city, Virginia","51","51","600",
"820","1511.7105693","22630","Waynesboro city, Virginia","51","51","820",
"683","4171.3780986","41085","Manassas city, Virginia","51","51","683",
"770","2331.6121525","99143","Roanoke city, Virginia","51","51","770",
"775","1742.6745676","25301","Salem city, Virginia","51","51","775",
"800","230.75835845","92108","Suffolk city, Virginia","51","51","800",
"710","4556.4021573","242742","Norfolk city, Virginia","51","51","710",
"037","24.994967113","11880","Charlotte County, Virginia","51","51","037",
"041","832.9516176","352802","Chesterfield County, Virginia","51","51","041",
"059","2934.8116361","1147532","Fairfax County, Virginia","51","51","059",
"081","38.397563716","11336","Greensville County, Virginia","51","51","081",
"047","8.0215523802","42243","Okanogan County, Washington","53","53","047",
"037","20.865716698","47935","Kittitas County, Washington","53","53","037",
"067","402.13160725","290536","Thurston County, Washington","53","53","067",
"005","120.22256331","204390","Benton County, Washington","53","53","005",
"049","20.076447454","69432","Lewis and Clark County, Montana","30","30","049",
"073","3.6385085471","5911","Pondera County, Montana","30","30","073",
"111","61.249907888","161300","Yellowstone County, Montana","30","30","111",
"063","46.124019179","119600","Missoula County, Montana","30","30","063",
"081","18.321220792","43806","Ravalli County, Montana","30","30","081",
"105","1.5013905822","7396","Valley County, Montana","30","30","105",
"013","30.155952191","81366","Cascade County, Montana","30","30","013",
"027","2.5464764323","11050","Fergus County, Montana","30","30","027",
"033","0.2690011688","1258","Garfield County, Montana","30","30","033",
"061","3.6052229198","4397","Mineral County, Montana","30","30","061",
"069","0.2941488054","487","Petroleum County, Montana","30","30","069",
"077","2.9621132115","6890","Powell County, Montana","30","30","077",
"089","4.3881307444","12113","Sanders County, Montana","30","30","089",
"109","1.0892884993","969","Wibaux County, Montana","30","30","109",
"031","43.928342984","114434","Gallatin County, Montana","30","30","031",
"059","0.778470989","1862","Meagher County, Montana","30","30","059",
"009","5.2375714543","10725","Carbon County, Montana","30","30","009",
"001","1.7054905801","9453","Beaverhead County, Montana","30","30","001",
"029","20.405340238","103806","Flathead County, Montana","30","30","029",
"065","2.4789219461","4633","Musselshell County, Montana","30","30","065",
"071","0.7691891173","3954","Phillips County, Montana","30","30","071",
"083","6.1069654585","3380","Harlan County, Nebraska","31","31","083",
"185","23.893031935","13679","York County, Nebraska","31","31","185",
"009","0.6542953464","465","Blaine County, Nebraska","31","31","009",
"019","51.288943727","49659","Buffalo County, Nebraska","31","31","019",
"037","26.015018698","10709","Colfax County, Nebraska","31","31","037",
"049","4.0786529296","1794","Deuel County, Nebraska","31","31","049",
"087","3.8904555632","2762","Hitchcock County, Nebraska","31","31","087",
"113","1.3107617489","748","Logan County, Nebraska","31","31","113",
"141","49.651397125","33470","Platte County, Nebraska","31","31","141",
"143","11.892442783","5213","Polk County, Nebraska","31","31","143",
"169","8.7189595068","5003","Thayer County, Nebraska","31","31","169",
"013","10.027968985","10783","Box Butte County, Nebraska","31","31","013",
"017","2.4194428544","2955","Brown County, Nebraska","31","31","017",
"001","55.679831279","31363","Adams County, Nebraska","31","31","001",
"161","2.1491544553","5246","Sheridan County, Nebraska","31","31","161",
"109","380.97565271","319090","Lancaster County, Nebraska","31","31","109",
"011","7.5624083429","5192","Boone County, Nebraska","31","31","011",
"129","7.2119658497","4148","Nuckolls County, Nebraska","31","31","129",
"149","1.3458392551","1357","Rock County, Nebraska","31","31","149",
"007","0.9983775724","745","Banner County, Nebraska","31","31","007",
"063","2.6953783193","2627","Frontier County, Nebraska","31","31","063",
"163","5.3037264658","3001","Sherman County, Nebraska","31","31","163",
"055","1750.3315009","571327","Douglas County, Nebraska","31","31","055",
"147","14.252296288","7865","Richardson County, Nebraska","31","31","147",
"093","11.320165882","6445","Howard County, Nebraska","31","31","093",
"089","4.1730281313","10067","Holt County, Nebraska","31","31","089",
"065","6.5022866052","4676","Furnas County, Nebraska","31","31","065",
"073","4.3435071587","1990","Gosper County, Nebraska","31","31","073",
"151","24.777834741","14224","Saline County, Nebraska","31","31","151",
"153","786.03485862","187196","Sarpy County, Nebraska","31","31","153",
"173","18.354415058","7224","Thurston County, Nebraska","31","31","173",
"177","53.157082836","20729","Washington County, Nebraska","31","31","177",
"015","3.554133884","1919","Boyd County, Nebraska","31","31","015",
"031","0.954496825","5689","Cherry County, Nebraska","31","31","031",
"053","69.112622959","36565","Dodge County, Nebraska","31","31","053",
"059","9.4930130495","5462","Fillmore County, Nebraska","31","31","059",
"069","1.0771377764","1837","Garden County, Nebraska","31","31","069",
"091","0.9456983962","682","Hooker County, Nebraska","31","31","091",
"123","3.2602041376","4642","Morrill County, Nebraska","31","31","123",
"127","17.114383308","6972","Nemaha County, Nebraska","31","31","127",
"159","30.246948434","17284","Seward County, Nebraska","31","31","159",
"171","1.0127640743","722","Thomas County, Nebraska","31","31","171",
"043","75.777798743","20026","Dakota County, Nebraska","31","31","043",
"181","6.0652647493","3487","Webster County, Nebraska","31","31","181",
"003","7.3475479016","6298","Antelope County, Nebraska","31","31","003",
"029","4.387207494","3924","Chase County, Nebraska","31","31","029",
"023","13.704882904","8016","Butler County, Nebraska","31","31","023",
"035","10.838920036","6203","Clay County, Nebraska","31","31","035",
"005","0.6472314918","463","Arthur County, Nebraska","31","31","005",
"041","4.1842776759","10777","Custer County, Nebraska","31","31","041",
"061","5.1735299796","2979","Franklin County, Nebraska","31","31","061",
"067","25.265967619","21513","Gage County, Nebraska","31","31","067",
"081","17.20619293","9324","Hamilton County, Nebraska","31","31","081",
"095","12.357694844","7046","Jefferson County, Nebraska","31","31","095",
"099","12.58128098","6495","Kearney County, Nebraska","31","31","099",
"101","7.5678204537","8034","Keith County, Nebraska","31","31","101",
"115","1.1783048481","664","Loup County, Nebraska","31","31","115",
"119","61.295214342","35099","Madison County, Nebraska","31","31","119",
"135","3.2728226159","2891","Perkins County, Nebraska","31","31","135",
"137","16.736150368","9034","Phelps County, Nebraska","31","31","137",
"155","28.797915551","21578","Saunders County, Nebraska","31","31","155",
"157","48.170429466","35618","Scotts Bluff County, Nebraska","31","31","157",
"179","21.189121524","9385","Wayne County, Nebraska","31","31","179",
"103","1.0425883086","806","Keya Paha County, Nebraska","31","31","103",
"105","3.8157442794","3632","Kimball County, Nebraska","31","31","105",
"107","7.5168493371","8332","Knox County, Nebraska","31","31","107",
"013","4.5879216491","3985","Columbia County, Washington","53","53","013",
"011","776.85533336","488241","Clark County, Washington","53","53","011",
"003","35.502075007","22582","Asotin County, Washington","53","53","003",
"001","10.380837609","19983","Adams County, Washington","53","53","001",
"023","3.1301202931","2225","Garfield County, Washington","53","53","023",
"045","69.582170877","66768","Mason County, Washington","53","53","045",
"057","74.675423726","129205","Skagit County, Washington","53","53","057",
"065","18.456077462","45723","Stevens County, Washington","53","53","065",
"063","296.38858142","522798","Spokane County, Washington","53","53","063",
"043","4.7342721583","10939","Lincoln County, Washington","53","53","043",
"007","26.427687744","77200","Chelan County, Washington","53","53","007",
"031","17.863595903","32221","Jefferson County, Washington","53","53","031",
"035","687.05358709","271473","Kitsap County, Washington","53","53","035",
"033","1065.0027467","2252782","King County, Washington","53","53","033",
"049","24.068951795","22471","Pacific County, Washington","53","53","049",
"051","9.8010458574","13724","Pend Oreille County, Washington","53","53","051",
"055","101.09730097","17582","San Juan County, Washington","53","53","055",
"059","7.2864564275","12083","Skamania County, Washington","53","53","059",
"075","23.204230903","50104","Whitman County, Washington","53","53","075",
"077","58.417117784","250873","Yakima County, Washington","53","53","077",
"009","44.476761586","77331","Clallam County, Washington","53","53","009",
"015","96.91166412","110593","Cowlitz County, Washington","53","53","015",
"019","3.4617223747","7627","Ferry County, Washington","53","53","019",
"039","11.981493479","22425","Klickitat County, Washington","53","53","039",
"041","33.58896436","80707","Lewis County, Washington","53","53","041",
"017","23.871752122","43429","Douglas County, Washington","53","53","017",
"027","39.475394474","75061","Grays Harbor County, Washington","53","53","027",
"029","408.32643903","85141","Island County, Washington","53","53","029",
"053","542.53805418","904980","Pierce County, Washington","53","53","053",
